146.19.24.168 - - [19/Jan/2025:00:37:02 +0000] "GET / HTTP/1.1" 200 1742 "-" "-"
124.156.9.47 - - [19/Jan/2025:01:03:55 +0000] "GET / HTTP/1.0" 200 1761 "-" "Mozilla/5.0 (Windows; U; MSIE 9.0; Windows NT 9.0; en-US)"
124.156.9.47 - - [19/Jan/2025:01:04:01 +0000] "\x16\x03" 400 526 "-" "-"
124.156.9.47 - - [19/Jan/2025:01:04:01 +0000] "\x16\x03" 400 526 "-" "-"
78.153.140.93 - - [19/Jan/2025:01:05:40 +0000] "GET /.env HTTP/1.1" 302 387 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
78.153.140.93 - - [19/Jan/2025:01:05:40 +0000] "POST / HTTP/1.1" 200 1003 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
5.181.190.248 - - [19/Jan/2025:01:07:48 +0000] "GET / HTTP/1.1" 200 1742 "-" "-"
212.41.10.41 - - [19/Jan/2025:01:17:15 +0000] "\x16\x03\x01" 400 526 "-" "-"
212.41.10.41 - - [19/Jan/2025:01:17:21 +0000] "GET / HTTP/1.1" 200 966 "-" "Mozilla/5.0 (Knoppix; Linux x86_64; rv:126.0) Gecko/20100101 Firefox/126.0"
212.41.10.41 - - [19/Jan/2025:01:17:29 +0000] "GET /favicon.ico HTTP/1.1" 302 350 "-" "Mozilla/5.0 (Knoppix; Linux x86_64; rv:126.0) Gecko/20100101 Firefox/126.0"
212.41.10.41 - - [19/Jan/2025:01:17:31 +0000] "GET / HTTP/1.1" 200 966 "http://34.94.250.181:80/favicon.ico" "Mozilla/5.0 (Knoppix; Linux x86_64; rv:126.0) Gecko/20100101 Firefox/126.0"
124.156.9.47 - - [19/Jan/2025:01:23:53 +0000] "\x16\x03\x01" 400 526 "-" "-"
124.156.9.47 - - [19/Jan/2025:01:23:55 +0000] "\x16\x03\x01" 400 526 "-" "-"
124.156.9.47 - - [19/Jan/2025:01:23:56 +0000] "\x16\x03\x01" 400 526 "-" "-"
124.156.9.47 - - [19/Jan/2025:01:23:58 +0000] "\x16\x03\x01" 400 526 "-" "-"
124.156.9.47 - - [19/Jan/2025:01:24:00 +0000] "\x16\x03\x01" 400 526 "-" "-"
124.156.9.47 - - [19/Jan/2025:01:24:00 +0000] "\x16\x03\x01" 400 526 "-" "-"
124.156.9.47 - - [19/Jan/2025:01:24:00 +0000] "\x16\x03\x01" 400 526 "-" "-"
124.156.9.47 - - [19/Jan/2025:01:24:00 +0000] "\x16\x03\x01" 400 526 "-" "-"
124.156.9.47 - - [19/Jan/2025:01:24:02 +0000] "\x16\x03\x01" 400 526 "-" "-"
124.156.9.47 - - [19/Jan/2025:01:24:02 +0000] "\x16\x03\x01" 400 526 "-" "-"
124.156.9.47 - - [19/Jan/2025:01:24:02 +0000] "\x16\x03\x01" 400 526 "-" "-"
124.156.9.47 - - [19/Jan/2025:01:24:02 +0000] "\x16\x03\x01" 400 526 "-" "-"
124.156.9.47 - - [19/Jan/2025:01:24:04 +0000] "\x16\x03\x01" 400 526 "-" "-"
124.156.9.47 - - [19/Jan/2025:01:24:04 +0000] "\x16\x03\x01" 400 526 "-" "-"
124.156.9.47 - - [19/Jan/2025:01:24:04 +0000] "\x16\x03\x01" 400 526 "-" "-"
124.156.9.47 - - [19/Jan/2025:01:24:04 +0000] "\x16\x03\x01" 400 526 "-" "-"
