172.169.4.248 - - [06/Jan/2025:00:01:51 +0000] "GET /hudson HTTP/1.1" 302 331 "-" "Mozilla/5.0 zgrab/0.x"
58.152.110.1 - - [06/Jan/2025:00:23:12 +0000] "GET / HTTP/1.0" 200 1761 "-" "curl/7.88.1"
178.128.54.126 - - [06/Jan/2025:00:47:53 +0000] "GET /cdn-cgi/trace HTTP/1.1" 302 350 "-" "Mozilla/5.0"
112.163.202.160 - - [06/Jan/2025:00:48:10 +0000] "GET / HTTP/1.0" 200 1761 "-" "curl/7.88.1"
178.128.54.126 - - [06/Jan/2025:00:48:19 +0000] "\x16\x03\x01\x01\v\x01" 400 532 "-" "-"
159.223.67.34 - - [06/Jan/2025:00:52:03 +0000] "GET /cdn-cgi/trace HTTP/1.1" 302 350 "-" "Mozilla/5.0"
159.223.67.34 - - [06/Jan/2025:00:52:08 +0000] "\x16\x03\x01\x01\v\x01" 400 532 "-" "-"
5.181.190.248 - - [06/Jan/2025:00:52:36 +0000] "GET / HTTP/1.1" 200 1742 "-" "-"
118.193.68.150 - - [06/Jan/2025:01:02:20 +0000] "\x16\x03\x01\x01\x17\x01" 400 532 "-" "-"
118.193.68.150 - - [06/Jan/2025:01:02:31 +0000] "GET / HTTP/1.1" 200 1742 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0"
118.193.68.150 - - [06/Jan/2025:01:02:36 +0000] "GET /favicon.ico HTTP/1.1" 302 331 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_0) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11"
118.193.68.150 - - [06/Jan/2025:01:02:36 +0000] "GET / HTTP/1.1" 200 947 "http://34.48.126.28/favicon.ico" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_0) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11"
