217.142.184.125 - - [15/Jan/2025:00:12:08 +0000] "GET / HTTP/1.1" 200 966 "-" "Python/3.10 aiohttp/3.11.11"
64.62.197.150 - - [15/Jan/2025:00:41:25 +0000] "GET / HTTP/1.1" 200 947 "-" "Mozilla/5.0 (Windows NT 10.0.0; Win64; x64; ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.6367.63 Chrome/124.0.6367.63 Not-A.Brand/99  Safari/537.36"
64.62.197.149 - - [15/Jan/2025:00:43:49 +0000] "GET /favicon.ico HTTP/1.1" 302 331 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:95.0) Gecko/20100101 Firefox/98.0"
64.62.197.138 - - [15/Jan/2025:00:44:25 +0000] "GET /geoserver/web/ HTTP/1.1" 302 331 "-" "Mozilla/5.0 (Windows NT 10.0.0; Win64; x64; ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.6367.63 Chrome/124.0.6367.63 Not-A.Brand/99  Safari/537.36"
205.210.31.13 - - [15/Jan/2025:00:47:58 +0000] "\x16\x03\x01" 400 531 "-" "-"
205.210.31.13 - - [15/Jan/2025:00:47:59 +0000] "\x16\x03\x01" 400 531 "-" "-"
220.128.233.7 - - [15/Jan/2025:00:50:46 +0000] "GET / HTTP/1.0" 200 1761 "-" "curl/7.88.1"
59.11.199.186 - - [15/Jan/2025:01:09:40 +0000] "GET / HTTP/1.0" 200 1761 "-" "curl/7.88.1"
130.61.239.85 - - [15/Jan/2025:01:17:00 +0000] "POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1" 400 485 "-" "Custom-AsyncHttpClient"
130.61.239.85 - - [15/Jan/2025:01:17:03 +0000] "POST /cgi-bin/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/bin/sh HTTP/1.1" 400 485 "-" "Custom-AsyncHttpClient"
130.61.239.85 - - [15/Jan/2025:01:17:05 +0000] "POST /hello.world?%ADd+allow_url_include%3d1+%ADd+auto_prepend_file%3dphp://input HTTP/1.1" 302 387 "-" "Custom-AsyncHttpClient"
130.61.239.85 - - [15/Jan/2025:01:17:07 +0000] "GET /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 302 386 "-" "Custom-AsyncHttpClient"
130.61.239.85 - - [15/Jan/2025:01:17:09 +0000] "GET /vendor/phpunit/phpunit/Util/PHP/eval-stdin.php HTTP/1.1" 302 386 "-" "Custom-AsyncHttpClient"
130.61.239.85 - - [15/Jan/2025:01:17:11 +0000] "GET /vendor/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 302 386 "-" "Custom-AsyncHttpClient"
130.61.239.85 - - [15/Jan/2025:01:17:12 +0000] "GET /vendor/phpunit/Util/PHP/eval-stdin.php HTTP/1.1" 302 386 "-" "Custom-AsyncHttpClient"
130.61.239.85 - - [15/Jan/2025:01:17:14 +0000] "GET /vendor/phpunit/phpunit/LICENSE/eval-stdin.php HTTP/1.1" 302 386 "-" "Custom-AsyncHttpClient"
130.61.239.85 - - [15/Jan/2025:01:17:15 +0000] "GET /vendor/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 302 386 "-" "Custom-AsyncHttpClient"
130.61.239.85 - - [15/Jan/2025:01:17:17 +0000] "GET /phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 302 386 "-" "Custom-AsyncHttpClient"
130.61.239.85 - - [15/Jan/2025:01:17:18 +0000] "GET /phpunit/phpunit/Util/PHP/eval-stdin.php HTTP/1.1" 302 386 "-" "Custom-AsyncHttpClient"
130.61.239.85 - - [15/Jan/2025:01:17:19 +0000] "GET /phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 302 386 "-" "Custom-AsyncHttpClient"
130.61.239.85 - - [15/Jan/2025:01:17:20 +0000] "GET /phpunit/Util/PHP/eval-stdin.php HTTP/1.1" 302 386 "-" "Custom-AsyncHttpClient"
130.61.239.85 - - [15/Jan/2025:01:17:22 +0000] "GET /lib/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 302 386 "-" "Custom-AsyncHttpClient"
