139.99.35.43 - - [05/Feb/2025:00:01:07 +0000] "GET / HTTP/1.1" 200 1761 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:130.0) Gecko/20100101 Firefox/130.0"
46.19.138.234 - - [05/Feb/2025:00:14:51 +0000] "GET / HTTP/1.1" 200 1003 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
179.43.191.146 - - [05/Feb/2025:00:28:41 +0000] "GET / HTTP/1.1" 200 1003 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
78.153.140.147 - - [05/Feb/2025:00:40:19 +0000] "GET /.env HTTP/1.1" 302 387 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
78.153.140.147 - - [05/Feb/2025:00:40:19 +0000] "POST / HTTP/1.1" 200 1003 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
8.209.90.19 - - [05/Feb/2025:00:54:37 +0000] "GET / HTTP/1.1" 200 1742 "-" "curl/7.64.1"
111.7.106.106 - - [05/Feb/2025:00:55:10 +0000] "GET / HTTP/1.1" 200 947 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36"
111.7.106.106 - - [05/Feb/2025:00:55:11 +0000] "GET / HTTP/1.1" 200 947 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_0_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
111.7.106.107 - - [05/Feb/2025:00:55:12 +0000] "GET /js/brand.js HTTP/1.1" 200 514 "http://34.176.179.0/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_0_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
111.7.106.106 - - [05/Feb/2025:00:55:12 +0000] "GET /js/login.js HTTP/1.1" 200 866 "http://34.176.179.0/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_0_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
111.7.106.107 - - [05/Feb/2025:00:55:22 +0000] "GET /js/services/LoggerService.js HTTP/1.1" 200 1289 "http://34.176.179.0/js/login.js" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_0_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
111.7.106.106 - - [05/Feb/2025:00:55:22 +0000] "GET /js/utils/json-manipulator.js HTTP/1.1" 200 509 "http://34.176.179.0/js/brand.js" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_0_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
111.7.106.106 - - [05/Feb/2025:00:55:22 +0000] "GET /config/brand.json HTTP/1.1" 200 311 "http://34.176.179.0/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_0_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
111.7.106.107 - - [05/Feb/2025:00:55:24 +0000] "GET /favicon.ico HTTP/1.1" 302 331 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36"
111.7.106.106 - - [05/Feb/2025:00:55:25 +0000] "GET / HTTP/1.1" 200 947 "http://34.176.179.0/favicon.ico" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36"
167.94.145.104 - - [05/Feb/2025:01:00:48 +0000] "GET / HTTP/1.1" 200 1742 "-" "-"
167.94.145.104 - - [05/Feb/2025:01:00:52 +0000] "GET / HTTP/1.1" 200 947 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
167.94.145.104 - - [05/Feb/2025:01:00:53 +0000] "GET /favicon.ico HTTP/1.1" 302 350 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
167.94.145.104 - - [05/Feb/2025:01:00:54 +0000] "GET / HTTP/1.1" 200 966 "http://34.176.179.0/favicon.ico" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
167.94.145.104 - - [05/Feb/2025:01:00:54 +0000] "PRI * HTTP/2.0" 400 533 "-" "-"
95.214.55.132 - - [05/Feb/2025:01:10:50 +0000] "GET / HTTP/1.1" 200 1003 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
35.93.152.166 - - [05/Feb/2025:01:30:02 +0000] "GET /.git/config HTTP/1.1" 302 387 "-" "python-requests/2.25.1"
185.196.220.253 - - [05/Feb/2025:02:42:19 +0000] "GET / HTTP/1.1" 200 1742 "-" "Hello World"
78.153.140.148 - - [05/Feb/2025:02:55:54 +0000] "GET /.env HTTP/1.1" 302 387 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
78.153.140.148 - - [05/Feb/2025:02:55:55 +0000] "POST / HTTP/1.1" 200 1003 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
95.214.55.43 - - [05/Feb/2025:03:14:14 +0000] "GET / HTTP/1.1" 200 1003 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
78.153.140.148 - - [05/Feb/2025:03:37:19 +0000] "GET /.env HTTP/1.1" 302 387 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
78.153.140.148 - - [05/Feb/2025:03:37:20 +0000] "POST / HTTP/1.1" 200 1003 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
45.43.33.210 - - [05/Feb/2025:04:10:43 +0000] "GET / HTTP/1.1" 200 1761 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:130.0) Gecko/20100101 Firefox/130.0"
80.82.77.202 - - [05/Feb/2025:04:38:17 +0000] "\x16\x03\x02\x01o\x01" 400 533 "-" "-"
45.156.129.135 - - [05/Feb/2025:04:39:48 +0000] "GET / HTTP/1.1" 200 947 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
78.153.140.148 - - [05/Feb/2025:04:55:58 +0000] "GET /.env HTTP/1.1" 302 387 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
78.153.140.148 - - [05/Feb/2025:04:55:59 +0000] "POST / HTTP/1.1" 200 1003 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
20.49.1.177 - - [05/Feb/2025:05:03:42 +0000] "GET /.env HTTP/1.1" 302 387 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
20.49.1.177 - - [05/Feb/2025:05:03:43 +0000] "POST / HTTP/1.1" 200 1003 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
