8.219.8.46 - - [05/Feb/2025:00:11:00 +0000] "GET / HTTP/1.1" 200 1742 "-" "curl/7.64.1"
123.160.221.131 - - [05/Feb/2025:00:11:44 +0000] "GET / HTTP/1.1" 200 947 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36"
45.15.17.3 - - [05/Feb/2025:00:11:45 +0000] "GET / HTTP/1.1" 200 947 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_0_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
45.15.17.3 - - [05/Feb/2025:00:11:47 +0000] "GET /js/brand.js HTTP/1.1" 200 514 "http://35.243.94.80/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_0_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
45.15.17.3 - - [05/Feb/2025:00:11:47 +0000] "GET /js/login.js HTTP/1.1" 200 866 "http://35.243.94.80/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_0_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
45.15.17.3 - - [05/Feb/2025:00:11:47 +0000] "GET /js/utils/json-manipulator.js HTTP/1.1" 200 509 "http://35.243.94.80/js/brand.js" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_0_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
45.15.17.3 - - [05/Feb/2025:00:11:47 +0000] "GET /js/services/LoggerService.js HTTP/1.1" 200 1289 "http://35.243.94.80/js/login.js" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_0_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
45.15.17.3 - - [05/Feb/2025:00:11:48 +0000] "GET /config/brand.json HTTP/1.1" 200 311 "http://35.243.94.80/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_0_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
45.15.17.3 - - [05/Feb/2025:00:11:51 +0000] "GET /favicon.ico HTTP/1.1" 302 331 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36"
45.15.17.3 - - [05/Feb/2025:00:11:51 +0000] "GET / HTTP/1.1" 200 947 "http://35.243.94.80/favicon.ico" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36"
46.19.138.234 - - [05/Feb/2025:00:48:30 +0000] "GET / HTTP/1.1" 200 1003 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
95.214.55.132 - - [05/Feb/2025:00:58:58 +0000] "GET / HTTP/1.1" 200 1003 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
78.153.140.93 - - [05/Feb/2025:01:00:23 +0000] "GET /.env HTTP/1.1" 302 387 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
78.153.140.93 - - [05/Feb/2025:01:00:24 +0000] "POST / HTTP/1.1" 200 1003 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
78.153.140.93 - - [05/Feb/2025:01:02:28 +0000] "GET /.env HTTP/1.1" 302 387 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
78.153.140.93 - - [05/Feb/2025:01:02:29 +0000] "POST / HTTP/1.1" 200 1003 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
45.156.128.43 - - [05/Feb/2025:01:14:14 +0000] "GET / HTTP/1.1" 200 947 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
141.255.166.90 - - [05/Feb/2025:01:22:02 +0000] "GET / HTTP/1.1" 200 1742 "-" "-"
179.43.191.146 - - [05/Feb/2025:01:22:50 +0000] "GET / HTTP/1.1" 200 1003 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
78.153.140.93 - - [05/Feb/2025:01:57:35 +0000] "GET /.env HTTP/1.1" 302 387 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
78.153.140.93 - - [05/Feb/2025:01:57:35 +0000] "POST / HTTP/1.1" 200 1003 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
94.102.49.155 - - [05/Feb/2025:02:26:44 +0000] "GET /server-status HTTP/1.1" 403 457 "-" "Go-http-client/1.1"
94.102.49.155 - - [05/Feb/2025:02:28:26 +0000] "GET /server-status HTTP/1.1" 403 457 "-" "Go-http-client/1.1"
147.185.133.191 - - [05/Feb/2025:02:41:16 +0000] "GET / HTTP/1.1" 200 947 "-" "Expanse, a Palo Alto Networks company, searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans, please send IP addresses/domains to: scaninfo@paloaltonetworks.com"
78.153.140.93 - - [05/Feb/2025:02:58:06 +0000] "GET /.env HTTP/1.1" 302 387 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
78.153.140.93 - - [05/Feb/2025:02:58:06 +0000] "POST / HTTP/1.1" 200 1003 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
95.214.55.43 - - [05/Feb/2025:03:07:58 +0000] "GET / HTTP/1.1" 200 1003 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
86.151.10.116 - - [05/Feb/2025:03:37:31 +0000] "GET / HTTP/1.0" 200 1761 "-" "curl/7.88.1"
78.153.140.93 - - [05/Feb/2025:03:48:10 +0000] "GET /.env HTTP/1.1" 302 387 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
78.153.140.93 - - [05/Feb/2025:03:48:11 +0000] "POST / HTTP/1.1" 200 1003 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
45.79.181.251 - - [05/Feb/2025:03:48:11 +0000] "\x16\x03\x01\x01\n" 400 527 "-" "-"
45.79.181.251 - - [05/Feb/2025:03:48:13 +0000] "\x16\x03\x01\x01\n" 400 527 "-" "-"
31.13.224.222 - - [05/Feb/2025:04:04:45 +0000] "GET /.env HTTP/1.1" 302 350 "-" "Mozilla/5.0 (Linux U; en-US)  AppleWebKit/528.5  (KHTML, like Gecko, Safari/528.5 ) Version/4.0 Kindle/3.0 (screen 600x800; rotate)"
35.189.232.73 - - [05/Feb/2025:04:09:33 +0000] "GET / HTTP/1.1" 200 1003 "-" "python-requests/2.32.3"
